PredictionString,image_id
6 0.41088899970054626 1395 412 1665 741,45fad4fe08460cf9aec10986ba13c582
3 0.7646480202674866 658 1354 1752 1765 0 0.8330079913139343 1059 553 1386 940,fc217b20fc08dbe61924444274fb1c92
2 0.3371579945087433 1331 503 1547 833,c201c69926e59f0c1dfeeeb8365ff05a
8 0.3081049919128418 1663 1557 1769 1666 11 0.3190920054912567 202 2072 340 2262 10 0.3364259898662567 202 2072 564 2311 0 0.3542479872703552 1140 690 1408 976 10 0.37084999680519104 200 2068 367 2273 11 0.4597170054912567 599 288 966 384 11 0.609375 528 275 959 460,7eda1e28e4cee7d8016276c87b76259f
0 0.8315430283546448 1240 856 1503 1135 3 0.8398439884185791 844 1616 1844 2011,23b0639cd035140def992b0ee7fc34f2
0 0.8330079913139343 1117 673 1371 926,02957c14fee52ac6d0617e6d86275a25
3 0.43896499276161194 805 1548 1673 1920 8 0.47241199016571045 649 956 700 1011,cc47c14b9aa97e08fad1925a6dc1efee
0 0.7324219942092896 1119 667 1385 1012,a6a3e8472da94404496b18198004f698
9 0.4206539988517761 225 1459 602 1681 0 0.8339840173721313 971 766 1203 1018 3 0.8920900225639343 666 1291 1572 1545,725d3455da58a90c17e5eba4b4520e97
0 0.8393549919128418 1156 934 1403 1226,1e47f8b7036defda2d0191401e1e05d6
13 0.3916020095348358 404 326 938 1059 6 0.41088899970054626 404 313 938 1076,98cfae70f256055ec24e8ba2dfd54ca6
8 0.3229979872703552 627 522 674 568 8 0.48242199420928955 435 1055 475 1090 0 0.5512700080871582 1147 661 1381 906,72bce8eed8324b1544f1698f56a2b0ba
8 0.3095700144767761 1561 1068 1673 1173 0 0.8261719942092896 1198 823 1405 1087 3 0.8408200144767761 885 1468 1710 1747,cde07682ce7758568b5a3701eee9f46a
7 0.35302698612213135 748 577 1051 1355 9 0.4035640060901642 743 565 1058 1463 0 0.6943359971046448 1047 567 1365 990,0e87195ff59d4294d61b8bffddb3c03c
10 0.7202150225639343 264 178 1001 1693,d7c8b14cc4c55e569c6bb92637b27595
5 0.3732909858226776 513 1230 935 2125 13 0.42211899161338806 690 563 979 1000 13 0.4609380066394806 1349 477 1676 1045,c75d652b2cd934bb797a9a02c6aec8ee
7 0.4262700080871582 1352 1140 1822 1491 10 0.7094730138778687 1349 1080 1889 1990 0 0.7568359971046448 1162 831 1416 1149,25e99dd3d0a8e45529b0c04f28a31313
2 0.3051759898662567 1346 741 1419 863 10 0.31054699420928955 1785 2048 1912 2211 13 0.3132320046424866 573 1750 762 2088 11 0.4028320014476776 1793 2060 1896 2211 0 0.7587890028953552 1249 690 1423 882 9 0.8525390028953552 110 343 417 608,e312a8c1788a0b47d0ce8c1321a912f9
0 0.8168950080871582 1120 242 1461 566 3 0.8764650225639343 784 756 1917 1175,eaa5aa491942a0bbc9a161ed3f08c2b5
0 0.5200200080871582 1184 653 1433 881 3 0.7416989803314209 932 1302 1912 1661,e6fe1659a6cacb4f2ea6ef651481e0ba
13 0.38647499680519104 580 461 692 688,1c2edaf3f7c1867f34d76dafe8f53d80
3 0.3085939884185791 809 1287 1647 1543 13 0.4560549855232239 588 659 811 903 0 0.8125 1188 619 1422 834,36fb9803c515de8b2b44028af25662ec
0 0.37084999680519104 1136 435 1390 682,2201904fdc9c81df726cb626bf58edeb
9 0.5249019861221313 128 706 280 935 0 0.7270510196685791 1139 691 1425 1008 3 0.8583980202674866 817 1381 1941 1804,5e81bf594edfd5481fc4a2fe942bb0a6
9 0.3933109939098358 781 158 1034 382 0 0.7983400225639343 1095 736 1407 1048 3 0.8359379768371582 737 1259 1753 1582,534b124253b5513add03cd3c64d9b5cc
5 0.36572301387786865 194 766 978 2153,fa93ce20869f64a1d44d6b8b3d962061
0 0.8505859971046448 1100 745 1409 1064 3 0.8686519861221313 817 1391 1803 1664,24c408efe011f2d27322e93440221aa1
3 0.5053709745407104 756 1436 1660 1735 9 0.5952150225639343 1323 1573 1926 1777 0 0.8457030057907104 1018 791 1363 1141,b325d5dcf507c8cce2c5de3e9afb2847
0 0.3063960075378418 1116 584 1426 995 13 0.3093259930610657 1357 841 1578 1069 7 0.3273929953575134 1125 530 1666 1088 3 0.6821290254592896 754 1284 1736 1643,a63b427ef8132749b8f71c66983d3231
0 0.8500980138778687 1103 490 1369 782 3 0.8916019797325134 775 1115 1694 1397,1ad1420c6bf26f67e1f0d1140e938efd
11 0.3559570014476776 565 399 768 524 11 0.5532230138778687 1441 360 1766 600,54402d9750c85f0e06e3d9464f6c2363
3 0.8325200080871582 718 1273 1702 1569 0 0.8476560115814209 1068 623 1373 964,0f389422bffe0f96dc3da175550e0c5b
2 0.5214840173721313 1271 569 1322 704 0 0.8046879768371582 1145 520 1322 733 3 0.8168950080871582 868 1178 1539 1453,dc4d73c10876b27e063b584d49eea496
7 0.35302698612213135 1485 1254 1822 1517 8 0.3620609939098358 1492 1242 1805 1511,e1eb9553f694d0eba82535625d70186c
4 0.3076170086860657 904 510 1315 903 7 0.3090820014476776 912 512 1317 913,8d74ba04415b33be3134b55c868016f8
8 0.5512700080871582 719 748 774 808 8 0.5839840173721313 528 729 622 834 0 0.8164060115814209 1133 551 1440 928,5ab46f617dc0db05f4eee6def96c5d6e
13 0.31396499276161194 1616 1468 1783 1551 0 0.8388670086860657 1139 677 1338 905,836875cb65e35b17f6bd79b04d151a39
