PredictionString,image_id
3 0.49072301387786865 685 1159 1680 1573,9fd7ae7f030dbd0185a3984704dcdc5d
0 0.7119140028953552 1009 621 1271 998 3 0.7304689884185791 682 1483 1568 1837,6dd1a29dcafeb9545da50d85324bb781
3 0.3488770127296448 754 1332 1487 1631 0 0.7954099774360657 1036 642 1283 905,3156a168acb759ef3257ea5a5d788a91
8 0.3198240101337433 373 1527 541 1682 0 0.5825200080871582 980 807 1176 1074,3ee8d416f1b67797ce0495b4393b2aaf
3 0.5688480138778687 524 1483 1517 1868 0 0.7036129832267761 929 615 1318 1121,82c1b7407eafb2bcc73fb0dbe9d94272
3 0.7495120167732239 753 1066 1638 1441,87072b31f1655d67bafa2705d96b876b
0 0.4699710011482239 966 614 1171 832,4170940c52599e7c3bb9b4088bb3d884
8 0.5561519861221313 518 1099 594 1182 0 0.5927730202674866 982 767 1235 1094,6669f6481deca63ed9c421d5ac012c76
3 0.6733400225639343 702 1208 1722 1753 0 0.7773439884185791 1036 536 1302 787,3a59363995006fd88ee83584b1e3f6e7
8 0.3745119869709015 555 1238 606 1293 3 0.6455079913139343 826 1277 1704 1685 0 0.6679689884185791 1073 731 1322 978,6d55788f759da917cf8b89f300764dee
5 0.3815920054912567 1205 429 1633 1614 11 0.4045409858226776 700 244 901 316,aefca6fbdab82ce59b2c7cceed75d062
11 0.30053699016571045 181 1795 291 1990,fe620114981e611e4e92f017dafc254f
11 0.3156740069389343 1224 272 1391 392 11 0.40039101243019104 682 237 922 320 0 0.7124019861221313 1089 603 1293 858,82240a46a3961830c1f340424fa7ce65
3 0.6059569716453552 685 1484 1592 1835 0 0.6772459745407104 973 760 1237 1109,2bcbeee6ac875c40fd3adc070a35f46b
0 0.7846680283546448 1073 579 1340 861,021ed4f8af985c0fc68335abb2cf2ed7
0 0.7480469942092896 1002 666 1234 969 3 0.75 767 1234 1457 1516,ce6877e88fc20990497099e6196b6ae4
13 0.35473600029945374 614 509 932 1008 13 0.3757320046424866 1261 601 1656 1180 11 0.4208979904651642 1166 433 1582 655,41ebb4e4b4434bb495434e6a4026c9d7
10 0.5483400225639343 16 422 852 1627,4117133a86ed741c387d404a8ffe5581
0 0.7270510196685791 1056 774 1315 1153 3 0.7607420086860657 734 1480 1759 1916,e7a50b38b3dd034c219fad4c10986fe7
11 0.3330079913139343 373 387 733 620 11 0.34521499276161194 179 1935 314 2147 11 0.3754880130290985 1004 372 1357 533 13 0.3874509930610657 1176 906 1602 1298 13 0.4050289988517761 254 458 790 1048 0 0.4970700144767761 904 723 1163 1028,4bdb9e0eb858b60bb9cf97656c5d6130
13 0.3676759898662567 495 661 714 816 3 0.7148439884185791 753 1017 1405 1399 0 0.8002930283546448 1035 339 1241 611,b99a097e12daedcc1d269899c813db0c
0 0.7026370167732239 1126 520 1346 829 3 0.8383790254592896 897 1052 1557 1330,1de1fb0878055fe44cd99abcbde7bfc4
0 0.7207030057907104 1129 719 1378 1051,8c717fbd10400d0cea8af2a1f59d050b
0 0.5883790254592896 955 874 1259 1185,579ceeec7e5374a80d88551c81db441a
