PredictionString,image_id
3 0.48583999276161194 188 327 495 434 0 0.5083010196685791 274 176 376 271,765760a9e2d3b82da72ca1ab86229b79
10 0.3525390028953552 18 111 270 431,76f84c8d0216ec44b47059fa80049995
0 0.5991209745407104 298 142 397 254 3 0.6674799919128418 193 364 513 454,0bdf902cc4ac4ad2c49059960f572ab2
5 0.3493649959564209 95 166 276 371 0 0.6601560115814209 322 192 396 252 3 0.8286129832267761 234 310 504 391,77b13969911c7f66060294c6cd76f58a
3 0.4399409890174866 259 408 534 515 0 0.6953120231628418 344 192 426 291,ed5a8bb58eb699827e3d05b535f28933
0 0.6611329913139343 335 157 417 246 3 0.7416989803314209 231 331 498 415,ab92572887da3377ccc7d68f10407b5d
8 0.4619140028953552 522 370 540 384 3 0.5957030057907104 260 352 524 466 0 0.6909180283546448 339 192 407 248,26be9cde1a3d1a38f19c6753cc9ed40d
3 0.3823240101337433 229 253 489 350 0 0.6367189884185791 306 114 367 177,b4fc5e0bb44a19fcb308e73639746915
3 0.5727540254592896 217 371 518 458 0 0.6582030057907104 312 180 405 274,e0a868625cea9a6ebbec8788070ae098
3 0.6455079913139343 204 388 497 477,e64adf704d7234993a79be4637514d0b
3 0.32617199420928955 230 373 423 475 0 0.7202150225639343 284 192 340 251,a9cc2f2d386fc3de3d20da289cdce689
10 0.3315429985523224 87 325 232 524 10 0.5327150225639343 431 306 574 454,3d10382c3359b2e799d0bc45306e146c
11 0.3212890028953552 175 124 280 158,33c856f133a5a726ffc26fe36d451518
0 0.6708980202674866 328 182 425 291 3 0.7758790254592896 219 348 554 449,15b164c54f0bf0baac308b47a45a1468
13 0.31884801387786865 476 309 542 329 3 0.6230469942092896 177 306 541 432 0 0.7607420086860657 322 166 412 239,b4105a81821522d6bfe3d18d9b757eb4
0 0.6669920086860657 335 194 419 282,b5822471fa3aef526081f6a64d7bec2f
0 0.6845700144767761 296 135 369 199 3 0.7646480202674866 207 291 484 365,34e730b3de639d75296d635521489b39
0 0.6816409826278687 296 137 381 216,34fa4687fe0cb1a46f70f407ef9c134b
3 0.4934079945087433 243 301 521 369 0 0.6738280057907104 336 167 418 237,9da65d59721d58bd125a4fc94b6ffec6
13 0.42553699016571045 143 106 274 215 0 0.5493159890174866 315 151 397 227,7d0cc84e9002c1eb219559540c014e7a
3 0.7788090109825134 225 386 543 470 0 0.7792969942092896 334 230 413 299,b761841b1bffc40e56e97a869f994f69
0 0.44457998871803284 337 174 424 266 3 0.6645510196685791 226 338 549 444,95318747e792176f2ed657e5cf0d20a9
13 0.5434569716453552 397 180 480 210 0 0.6567379832267761 336 147 387 202 3 0.7197269797325134 277 303 476 383,a3ddfa552c6cd137bf46a5db89f5a2ce
0 0.6933590173721313 325 186 399 262,e1d60fa0e8a70ed91147dd06a6561e29
0 0.5429689884185791 330 188 394 253,4db7b12c1770b0aef3a1ea88bb95d97a
13 0.3037109971046448 125 105 192 155,1c32170b4af4ce1a3030eb8167753b06
13 0.3581539988517761 133 218 245 314 8 0.5107420086860657 186 281 207 300 0 0.5527340173721313 314 233 387 296 8 0.6210939884185791 448 283 474 302,bd3fe876153eeddad8bab49b129ea081
3 0.7587890028953552 222 365 547 462,24b77560428d23bcaf7c06a536fbb287
11 0.3103030025959015 347 120 436 142 3 0.33349600434303284 237 379 484 465 0 0.6323239803314209 304 207 389 282,e7af557ff6a1782400710d2c8ddb2568
0 0.42163100838661194 296 178 364 236 3 0.6791989803314209 211 326 502 406,1060e455b64eea9e29ca4a3e05b47557
3 0.49365198612213135 289 365 511 474 0 0.7421879768371582 357 178 434 264,020717d6ab0b440b37978d9bace9f9b2
0 0.4011229872703552 278 161 361 227 3 0.8222659826278687 177 282 491 383,c6221295778a330b5b3fa85e719ee9e8
13 0.46899399161338806 116 138 239 259 0 0.7294920086860657 296 185 366 242,a99a720cab88405baaf789e85ce20c45
0 0.5600590109825134 308 161 405 254,48e62136c5671259ad62877dfb5339d6
11 0.3190920054912567 51 449 92 502 3 0.7075200080871582 242 337 554 466 0 0.7836909890174866 316 134 398 218,5999f46a39109c9af7dc63e3b580a1ba
11 0.31884801387786865 182 100 273 123 0 0.4201659858226776 329 216 392 267,c5dfd21f7ffbb5183cb8a2b7874de381
0 0.3117679953575134 312 148 380 225 3 0.7275390028953552 235 276 463 358,79e8d10895b6cd7b1fca87139719b63a
